lat,lng,type,city
21.1893961,72.845184,Restaurant,Surat
21.1658939,72.829703,Restaurant,Surat
21.185535,72.844268,Restaurant,Surat
21.1722349,72.8115368,Restaurant,Surat
21.184742,72.833131,Restaurant,Surat
21.1982363,72.8248651,Restaurant,Surat
21.1812543,72.8246493,Restaurant,Surat
21.1702401,72.8310607,School,Surat
21.190699,72.842308,School,Surat
21.1738333,72.8378166,School,Surat
21.184037,72.8469567,School,Surat
21.1895046,72.8345911,School,Surat
21.186118,72.8146372,School,Surat
21.1631862,72.8117374,School,Surat
21.1760277,72.8178328,School,Surat
21.1920642,72.8365606,School,Surat
21.184291,72.813123,School,Surat
21.1750746,72.8077557,School,Surat
21.1905925,72.8423487,School,Surat
21.1722166,72.83875,School,Surat
21.1784154,72.8191213,School,Surat
21.1889967,72.8410362,School,Surat
21.1910054,72.843332,School,Surat
21.1850441,72.8200445,School,Surat
21.1916647,72.8145725,School,Surat
21.1929123,72.8437007,School,Surat
21.1431152,72.8431097,School,Surat
21.1889279,72.8116957,School,Surat
21.1807255,72.8184548,School,Surat
21.186652,72.810945,School,Surat
21.1708226,72.8203245,School,Surat
21.1844666,72.8331833,School,Surat
21.1844252,72.8332822,School,Surat
21.195,72.819444,School,Surat
21.1758684,72.8095991,School,Surat
21.195,72.819444,School,Surat
21.1950397,72.8216725,School,Surat
21.195,72.819444,School,Surat
21.181706,72.8306611,School,Surat
21.185449,72.814576,School,Surat
21.188291,72.841178,School,Surat
21.18105,72.820901,School,Surat
21.195,72.819444,School,Surat
21.169319,72.843535,School,Surat
21.1760862,72.8112505,School,Surat
21.1543091,72.8500709,School,Surat
21.1814013,72.8170822,School,Surat
21.1755454,72.8174339,School,Surat
21.1710488,72.8394714,School,Surat
21.1809602,72.8186827,School,Surat
21.195,72.819444,School,Surat
21.184433,72.817105,School,Surat
21.1898535,72.8146435,School,Surat
21.1812384,72.8175588,School,Surat
21.1884276,72.8409569,School,Surat
21.1960576,72.8370715,School,Surat
21.178654,72.83751,School,Surat
21.184181,72.833358,School,Surat
21.180564,72.820975,School,Surat
21.1813971,72.8256708,School,Surat
21.1893961,72.845184,School,Surat
21.1658939,72.829703,School,Surat
21.185535,72.844268,School,Surat
21.1722349,72.8115368,School,Surat
21.184742,72.833131,School,Surat
21.1982363,72.8248651,School,Surat
21.1812543,72.8246493,School,Surat
21.1702401,72.8310607,Mall,Surat
21.190699,72.842308,Mall,Surat
21.1738333,72.8378166,Mall,Surat
21.184037,72.8469567,Mall,Surat
21.1895046,72.8345911,Mall,Surat
21.186118,72.8146372,Mall,Surat
21.1631862,72.8117374,Mall,Surat
21.1760277,72.8178328,Mall,Surat
21.1920642,72.8365606,Mall,Surat
21.184291,72.813123,Mall,Surat
21.1750746,72.8077557,Mall,Surat
21.1905925,72.8423487,Mall,Surat
21.1722166,72.83875,Mall,Surat
21.1784154,72.8191213,Mall,Surat
21.1889967,72.8410362,Mall,Surat
21.1910054,72.843332,Mall,Surat
21.1850441,72.8200445,Mall,Surat
21.1916647,72.8145725,Mall,Surat
21.1929123,72.8437007,Mall,Surat
21.1431152,72.8431097,Mall,Surat
21.1889279,72.8116957,Mall,Surat
21.1807255,72.8184548,Mall,Surat
21.186652,72.810945,Mall,Surat
21.1708226,72.8203245,Mall,Surat
21.1844666,72.8331833,Mall,Surat
21.1844252,72.8332822,Mall,Surat
21.195,72.819444,Mall,Surat
21.1758684,72.8095991,Mall,Surat
